Frequency (Hz), Storage (MPa), Loss (MPa) - EPrim_TATATO_Pa.txt
3326.635109, 724.010000, 410.058000
3691.204321, 747.174000, 430.302000
4212.228136, 788.316000, 420.734000
4618.838305, 814.914000, 439.471000
5312.774507, 857.160000, 428.944000
5829.896652, 880.389000, 447.101000
6647.023952, 923.057000, 435.077000
7312.269010, 951.798000, 450.759000
8356.134304, 988.564000, 436.458000
9212.395574, 1020.920000, 455.984000
10512.198008, 1058.240000, 436.925000
11649.931501, 1099.060000, 457.840000
13186.685696, 1122.090000, 436.598000
14552.208426, 1168.310000, 451.721000
16714.516134, 1189.380000, 435.718000
18449.744384, 1238.440000, 449.618000
20937.018013, 1249.100000, 433.291000
23253.569030, 1307.060000, 448.447000
25947.592543, 1331.800000, 467.834000
26273.107361, 1305.220000, 427.724000
29003.301127, 1370.870000, 436.246000
32630.050977, 1396.420000, 472.732000
33278.273930, 1351.280000, 420.084000
36798.066549, 1436.630000, 432.328000
41093.774404, 1477.860000, 448.412000
41670.009990, 1395.540000, 415.006000
46256.627496, 1510.480000, 409.277000
51677.345000, 1545.870000, 466.524000
58320.990590, 1554.700000, 400.809000
65105.329060, 1590.600000, 426.499000
73477.751741, 1623.560000, 401.837000
82023.138986, 1649.740000, 410.040000
91954.050843, 1673.590000, 387.911000
103034.846719, 1713.420000, 397.044000
115806.344656, 1732.990000, 377.723000
128537.275680, 1770.750000, 402.304000
145468.302222, 1786.700000, 365.708000
163239.845289, 1839.480000, 397.603000
184151.166156, 1836.260000, 346.740000
205208.250812, 1897.030000, 372.921000
231234.085304, 1882.020000, 341.909000
259572.422915, 1946.440000, 353.653000
291536.673781, 1932.370000, 327.239000
326661.656121, 1983.220000, 356.466000
365940.443701, 1977.670000, 318.188000
410338.139130, 2038.440000, 335.477000
430028.225440, 2056.240000, 366.192000
457972.904921, 2014.230000, 302.835000
517915.584999, 2084.790000, 315.622000
541374.819527, 2089.630000, 365.163000
576767.252068, 2059.550000, 295.721000
651532.578193, 2141.980000, 311.564000
680644.563560, 2166.790000, 346.362000
727452.844925, 2095.370000, 282.872000
817245.848953, 2163.780000, 273.173000
857109.377197, 2182.740000, 380.469000
920559.737207, 2124.450000, 281.885000
1030722.950375, 2227.040000, 273.712000
1079321.943276, 2220.040000, 318.524000
1299978.535988, 2238.560000, 264.545000
1358786.601430, 2264.040000, 306.930000
1401253.516340, 2358.100000, 311.543000
1637181.885494, 2275.630000, 219.195000
1710610.369799, 2291.500000, 299.478000
1760922.331579, 2407.070000, 281.902000
2049843.714643, 2312.110000, 240.007000
2156963.484202, 2350.410000, 282.794000
2217261.028567, 2414.170000, 326.662000
2592842.425841, 2349.180000, 231.291000
2710414.292604, 2376.440000, 261.165000
2792369.747358, 2444.490000, 276.670000
